src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
45704,443,6,0.5515520572662354,206.68946565994216,15434.626501430592,114,8513,74.67543859649123,66,583,60.4283376667666,0.0048191399700873,1,0,1,0,3,113,64240.0,0,118,114,0,8513,0,benign
443,45704,6,0.5471169948577881,230.29809196980096,820871.96014947,126,449113,3564.3888888888887,66,8466,1690.3777895948454,0.00435054397583,1,0,1,0,114,126,65535.0,0,242,126,0,449113,0,benign
59268,443,6,0.2515754699707031,147.07316259533883,13224.65978255925,37,3327,89.91891891891892,66,583,95.8854578182793,0.0069931546847025,1,0,1,0,3,36,64240.0,0,41,37,0,3327,0,benign
58016,443,6,0.430384874343872,23.23501729758776,3594.457175936826,10,1547,154.7,66,583,174.67433189287493,0.0473774539099799,1,0,1,0,3,9,64240.0,0,14,10,0,1547,0,benign
443,59268,6,0.2518105506896972,150.90710018273575,339100.16782904265,38,85389,2247.0789473684213,66,2866,1011.2019976668106,0.0068162196391337,1,0,1,0,33,38,65535.0,0,73,38,0,85389,0,benign
443,58016,6,0.4261758327484131,21.118044028819963,14763.859225481689,9,6292,699.1111111111111,66,2866,970.4292148895308,0.0532416701316833,1,0,1,0,5,9,65535.0,0,16,9,0,6292,0,benign
55076,443,6,0.1525287628173828,65.56140504445473,10148.905500881592,10,1548,154.8,66,583,174.79753367189647,0.0167768001556396,1,0,1,0,3,9,64240.0,0,14,10,0,1548,0,benign
47524,443,6,0.3255977630615234,30.712741715336804,4766.617514220272,10,1552,155.2,66,583,175.29517962568167,0.0360007286071777,1,0,1,0,3,9,64240.0,0,14,10,0,1552,0,benign
443,55076,6,0.1501791477203369,66.58714043724609,48169.13739230382,10,7234,723.4,66,2866,947.7198601555912,0.0167664421929253,1,0,1,0,6,10,65535.0,0,18,10,0,7234,0,benign
443,47524,6,0.3239431381225586,27.782653622979343,19086.68303898681,9,6183,687.0,66,2866,971.1298831773224,0.0404536128044128,1,0,1,0,5,9,65535.0,0,16,9,0,6183,0,benign
55078,443,6,0.144777774810791,69.07137516838426,10685.341738549048,10,1547,154.7,66,583,174.67433189287493,0.0160198741488986,1,0,1,0,3,9,64240.0,0,14,10,0,1547,0,benign
47536,443,6,0.3145108222961426,31.795408269239225,4931.467822559004,10,1551,155.1,66,583,175.1700443695909,0.0350168810950385,1,0,1,0,3,9,64240.0,0,14,10,0,1551,0,benign
443,55078,6,0.1441531181335449,69.37068118593105,50210.49904237689,10,7238,723.8,66,2866,946.767928856439,0.0159963766733805,1,0,1,0,6,10,65535.0,0,18,10,0,7238,0,benign
443,47536,6,0.3151154518127441,28.560960588337657,20217.986656477693,9,6371,707.8888888888889,66,2866,964.4754331299016,0.0394025444984436,1,0,1,0,5,9,65535.0,0,16,9,0,6371,0,benign
58231,51007,17,14.026803731918337,0.3564603950807679,66.30163348502283,5,930,186.0,186,186,0.0,3.507079005241394,0,0,0,0,0,0,,0,0,5,0,930,0,benign
137,137,17,14.646486043930054,1.2289637218109215,113.06466240660478,18,1656,92.0,92,92,0.0,0.8615807224722469,0,0,0,0,0,0,,0,0,18,0,1656,0,benign
57621,57621,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
5353,5353,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
56092,1900,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
45704,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,5934.0,0,1,1,0,66,0,benign
5353,5353,17,0.7688839435577393,7.803518398676809,1439.7491445558717,6,1107,184.5,93,319,102.96358579614446,0.1532853603363037,0,0,0,0,0,0,,0,0,6,0,1107,0,benign
37720,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,1,0,0,1,2132.0,0,2,1,0,66,0,benign
37718,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,1,0,0,1,679.0,0,2,1,0,66,0,benign
49710,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,1,0,0,1,635.0,0,2,1,0,66,0,benign
34046,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,1,0,0,1,621.0,0,2,1,0,66,0,benign
48900,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,1,0,0,1,618.0,0,2,1,0,66,0,benign
59072,5355,17,0.4096128940582275,4.882658795686482,366.1994096764862,2,150,75.0,75,75,0.0,0.4138805866241455,0,0,0,0,0,0,,0,0,2,0,150,0,benign
52337,5355,17,0.41951584815979,4.767400346787893,357.55502600909193,2,150,75.0,75,75,0.0,0.4190554618835449,0,0,0,0,0,0,,0,0,2,0,150,0,benign
50290,5355,17,0.4112062454223633,4.863739357717525,364.7804518288144,2,150,75.0,75,75,0.0,0.4099900722503662,0,0,0,0,0,0,,0,0,2,0,150,0,benign
5353,5353,17,0.785921573638916,7.634349534673343,2087.9945977331595,6,1641,273.5,93,497,199.12583960902717,0.156940221786499,0,0,0,0,0,0,,0,0,6,0,1641,0,benign
60314,443,6,0.1647474765777588,60.698957020322695,9602.57500061505,10,1582,158.2,66,583,179.26814180625254,0.0184020466274685,1,0,1,0,3,9,64240.0,0,14,10,0,1582,0,benign
39688,443,6,0.3421652317047119,29.225646189061035,4635.18748558508,10,1586,158.6,66,583,179.82905462935872,0.0380687713623046,1,0,1,0,3,9,64240.0,0,14,10,0,1586,0,benign
443,60314,6,0.1596200466156005,62.64877258231951,45288.797699758776,10,7229,722.9,66,2866,946.5849084413342,0.0180658234490288,1,0,1,0,6,10,65535.0,0,18,10,0,7229,0,benign
443,39688,6,0.3428561687469482,26.25007458052367,18226.3017837436,9,6249,694.3333333333334,66,2866,969.6781682599644,0.0428800284862518,1,0,1,0,5,9,65535.0,0,16,9,0,6249,0,benign
59268,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,1519.0,0,1,1,0,66,0,benign
58016,443,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,611.0,0,1,1,0,66,0,benign
57278,5355,17,0.4266612529754638,4.68755947734259,351.56696080069423,2,150,75.0,75,75,0.0,0.4250054359436035,0,0,0,0,0,0,,0,0,2,0,150,0,benign
5353,5353,17,10.018722295761108,1.896449411322524,148.921185352274,19,1492,78.52631578947368,72,81,3.5334657373404745,0.5561723179287381,0,0,0,0,0,0,,0,0,19,0,1492,0,benign
5353,5353,17,10.015300035476685,1.8970974341954083,149.271613901165,19,1495,78.6842105263158,72,81,3.575419658025356,0.5561116006639268,0,0,0,0,0,0,,0,0,19,0,1495,0,benign
5353,5353,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
5353,5353,17,0.7968909740447998,7.5292608341962355,1862.2371796578689,6,1484,247.33333333333331,86,447,177.9749045979985,0.1592758655548095,0,0,0,0,0,0,,0,0,6,0,1484,0,benign
