src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_rate,byte_rate,packet_count,byte_count,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,time_between_packets_mean,num_syn_flags,num_rst_flags,num_fin_flags,num_urg_flags,num_psh_flags,num_ack_flags,initial_window_size,incomplete_handshake,tcp_flags_count,packets_src_to_dst,packets_dst_to_src,bytes_src_to_dst,bytes_dst_to_src,label
185.15.59.224,192.168.154.39,80.0,46476.0,6,0.0582704544067382,68.64542315183057,9679.00466440811,4,564,141.0,66,358,144.7158134644126,0.0192071596781412,1,0,1,0,1,4,65160.0,0,7,4,0,564,0,benign
192.168.154.39,185.15.59.224,46476.0,80.0,6,0.0593402385711669,84.25985672442957,10161.738720966208,5,603,120.6,66,331,117.66817751626816,0.0152286887168884,1,0,1,0,1,4,64240.0,0,7,5,0,603,0,benign
192.168.154.39,185.15.59.224,43844.0,443.0,6,0.2473890781402588,72.75988146006505,8440.146249367546,18,2088,116.0,66,583,134.84326413415295,0.0145060314851648,1,0,1,0,3,17,64240.0,0,22,18,0,2088,0,benign
185.15.59.224,192.168.154.39,443.0,43844.0,6,0.2509105205535888,67.75323714004722,114395.36268416326,17,28703,1688.4117647058824,66,2962,1220.443365073915,0.0154801756143569,1,0,1,0,13,17,43440.0,0,32,17,0,28703,0,benign
192.168.154.39,185.15.59.224,43844.0,443.0,6,0.0001988410949707,10058.282973621102,543147.2805755396,2,108,54.0,54,54,0.0,0.0003082752227783,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
185.15.59.224,192.168.154.39,80.0,46484.0,6,0.0597164630889892,66.98320351021484,9427.885894062738,4,563,140.75,66,357,144.21598385754612,0.020199696222941,1,0,1,0,1,4,65160.0,0,7,4,0,563,0,benign
192.168.154.39,185.15.59.224,46484.0,80.0,6,0.0610883235931396,81.84870210714885,9821.844252857862,5,600,120.0,66,328,116.32712495372694,0.0168400406837463,1,0,1,0,1,4,64240.0,0,7,5,0,600,0,benign
192.168.154.39,185.15.59.224,43854.0,443.0,6,0.1983585357666015,115.95165245151304,12764.76452205352,23,2532,110.08695652173913,66,583,136.076486861911,0.0092776688662442,1,0,1,0,3,22,64240.0,0,27,23,0,2532,0,benign
185.15.59.224,192.168.154.39,443.0,43854.0,6,0.218630313873291,118.92220954807078,244279.9402051468,26,53407,2054.1153846153848,66,2962,1157.6723310824382,0.0085071563720703,1,0,1,0,22,26,43440.0,0,50,26,0,53407,0,benign
192.168.154.39,185.15.59.224,43854.0,443.0,6,0.0046377182006835,431.2465556241003,23287.31400370142,2,108,54.0,54,54,0.0,8.702278137207031e-05,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
192.168.154.39,185.15.59.224,43870.0,443.0,6,0.1689121723175048,142.08567488485735,14551.941202790807,24,2458,102.41666666666669,66,583,118.10935119870784,0.0074658186539359,1,0,1,0,3,23,64240.0,0,28,24,0,2458,0,benign
185.15.59.224,192.168.154.39,443.0,43870.0,6,0.181861400604248,137.46732356033573,276232.338655081,25,50236,2009.44,66,2962,1172.5036631072842,0.0073180099328358,1,0,1,0,21,25,43440.0,0,48,25,0,50236,0,benign
192.168.154.39,185.15.59.224,43870.0,443.0,6,0.0002906322479248,6881.548810500411,371603.63576702215,2,108,54.0,54,54,0.0,0.0001790523529052,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
192.168.154.39,185.15.59.224,42526.0,443.0,6,0.2904868125915527,79.17743251339883,8444.445302407275,23,2453,106.65217391304348,66,583,126.69849991780852,0.0127054778012362,1,0,1,0,3,22,64240.0,0,27,23,0,2453,0,benign
192.168.154.39,185.15.59.224,42518.0,443.0,6,0.5727648735046387,17.459171228172416,2704.425623243907,10,1549,154.9,66,583,177.14303699427634,0.062058236863878,1,0,1,0,3,9,64240.0,0,14,10,0,1549,0,benign
185.15.59.224,192.168.154.39,443.0,42526.0,6,0.2823941707611084,84.98758998925237,169192.58592068704,24,47779,1990.7916666666667,66,2962,1311.6807001164464,0.0121633280878481,1,0,1,0,20,24,43440.0,0,46,24,0,47779,0,benign
192.168.154.39,185.15.59.224,42526.0,443.0,6,0.0002081394195556,9608.94387170676,518882.96907216497,2,108,54.0,54,54,0.0,6.175041198730469e-05,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
185.15.59.224,192.168.154.39,443.0,42518.0,6,0.562608003616333,14.219491988342828,9998.08030430355,8,5625,703.125,66,2962,975.236299204308,0.0799962111881801,1,0,1,0,6,8,43440.0,0,16,8,0,5625,0,benign
192.168.154.39,185.15.59.224,42518.0,443.0,6,0.0017414093017578,1148.4950711938664,62018.73384446879,2,108,54.0,54,54,0.0,0.0011963844299316,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
192.168.156.136,224.0.0.251,5353.0,5353.0,17,0.6911931037902832,5.787094775780129,1271.7140769776831,4,879,219.75,88,359,130.24176237546337,0.2282562255859375,0,0,0,0,0,0,,0,0,4,0,879,0,benign
192.168.157.6,224.0.0.251,5353.0,5353.0,17,14.032787561416626,1.6390186126125694,133.18807769447358,23,1869,81.26086956521739,81,87,1.2510864843424483,0.6365612095052545,0,0,0,0,0,0,,0,0,23,0,1869,0,benign
192.168.157.6,192.168.159.255,137.0,137.0,17,14.745523452758787,1.152892269607385,106.0660888038794,17,1564,92.0,92,92,0.0,0.9216692745685576,0,0,0,0,0,0,,0,0,17,0,1564,0,benign
192.168.159.82,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.157.197,224.0.0.251,5353.0,5353.0,17,10.031255722045898,4.38629033285437,348.11195096198765,44,3492,79.36363636363636,71,81,3.1482066441064145,0.2330774928248206,0,0,0,0,0,0,,0,0,44,0,3492,0,benign
192.168.155.175,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
192.168.153.44,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,108000000.0,1,108,108.0,108,108,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,108,0,benign
192.168.158.126,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,129000000.0,1,129,129.0,129,129,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,129,0,benign
192.168.154.209,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,139000000.0,1,139,139.0,139,139,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,139,0,benign
192.168.159.52,192.168.159.255,137.0,137.0,17,1.517047643661499,1.977525236293366,181.93232173898969,3,276,92.0,92,92,0.0,0.7582831382751465,0,0,0,0,0,0,,0,0,3,0,276,0,benign
192.168.153.252,224.0.0.251,5353.0,5353.0,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.159.82,239.255.255.250,58898.0,1900.0,17,1e-06,1000000.0,167000000.0,1,167,167.0,167,167,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,167,0,benign
192.168.154.133,224.0.0.251,5353.0,5353.0,17,10.037132501602173,3.985201948227247,320.2109765400593,40,3214,80.35,74,81,1.8473820700711892,0.2571128209431966,0,0,0,0,0,0,,0,0,40,0,3214,0,benign
192.168.159.92,224.0.0.251,5353.0,5353.0,17,15.01894187927246,1.1319039741049657,213.46377299885413,17,3206,188.58823529411765,83,310,113.66785980628462,0.9388053119182588,0,0,0,0,0,0,,0,0,17,0,3206,0,benign
192.168.155.202,192.168.159.255,57621.0,57621.0,17,1e-06,1000000.0,86000000.0,1,86,86.0,86,86,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,86,0,benign
192.168.154.39,192.168.152.2,60315.0,53.0,17,1e-06,1000000.0,88000000.0,1,88,88.0,88,88,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,88,0,benign
192.168.154.39,192.168.152.2,47981.0,53.0,17,1e-06,1000000.0,88000000.0,1,88,88.0,88,88,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,88,0,benign
192.168.152.2,192.168.154.39,53.0,60315.0,17,1e-06,1000000.0,133000000.0,1,133,133.0,133,133,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,133,0,benign
192.168.152.2,192.168.154.39,53.0,47981.0,17,1e-06,1000000.0,145000000.0,1,145,145.0,145,145,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,145,0,benign
185.15.59.224,192.168.154.39,80.0,46476.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,507.0,0,1,1,0,66,0,benign
192.168.158.58,239.255.255.250,55566.0,1900.0,17,2.985680341720581,1.3397281497639797,284.0223677499636,4,848,212.0,212,212,0.0,0.9982665379842124,0,0,0,0,0,0,,0,0,4,0,848,0,benign
192.168.154.39,185.15.59.224,42534.0,443.0,6,0.1812772750854492,88.26258003082864,10757.00194125724,16,1950,121.875,66,583,144.80371772391297,0.0121332645416259,1,0,1,0,3,15,64240.0,0,20,16,0,1950,0,benign
185.15.59.224,192.168.154.39,443.0,42534.0,6,0.1962118148803711,86.641061907331,146403.0084911759,17,28726,1689.764705882353,66,2962,1220.5291132031512,0.0115899741649627,1,0,1,0,13,17,43440.0,0,32,17,0,28726,0,benign
192.168.154.39,185.15.59.224,42534.0,443.0,6,0.0002093315124511,9554.223234624144,515928.0546697039,2,108,54.0,54,54,0.0,0.0004510879516601,0,2,0,0,0,0,0.0,0,2,2,0,108,0,benign
192.168.154.39,192.168.152.2,33215.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.154.39,192.168.152.2,44304.0,53.0,17,1e-06,1000000.0,87000000.0,1,87,87.0,87,87,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,87,0,benign
192.168.152.2,192.168.154.39,53.0,33215.0,17,1e-06,1000000.0,132000000.0,1,132,132.0,132,132,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,132,0,benign
192.168.152.2,192.168.154.39,53.0,44304.0,17,1e-06,1000000.0,144000000.0,1,144,144.0,144,144,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,144,0,benign
185.15.59.224,192.168.154.39,80.0,46484.0,6,1e-06,1000000.0,66000000.0,1,66,66.0,66,66,0.0,0.0,0,0,0,0,0,1,508.0,0,1,1,0,66,0,benign
192.168.154.39,185.15.59.224,43852.0,443.0,6,0.2202861309051513,45.3955042875836,9124.496361804302,10,2010,201.0,66,583,210.128003316497,0.0243701404995388,1,0,0,0,4,9,64240.0,0,14,10,0,2010,0,benign
185.15.59.224,192.168.154.39,443.0,43852.0,6,0.1504659652709961,46.52214862937728,45073.316000633815,7,6782,968.8571428571428,74,2962,994.6507642671085,0.0246780713399251,1,0,0,0,6,7,43440.0,0,14,7,0,6782,0,benign
192.168.154.39,192.168.152.2,44318.0,53.0,17,1e-06,1000000.0,89000000.0,1,89,89.0,89,89,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,89,0,benign
192.168.154.39,192.168.152.2,52144.0,53.0,17,1e-06,1000000.0,89000000.0,1,89,89.0,89,89,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,89,0,benign
192.168.152.2,192.168.154.39,53.0,52144.0,17,1e-06,1000000.0,146000000.0,1,146,146.0,146,146,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,146,0,benign
192.168.152.2,192.168.154.39,53.0,44318.0,17,1e-06,1000000.0,134000000.0,1,134,134.0,134,134,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,134,0,benign
192.168.158.115,239.255.255.250,56090.0,3702.0,17,7.016061067581177,0.9977108141695932,696.402148290376,7,4886,698.0,698,698,0.0,1.1689115365346272,0,0,0,0,0,0,,0,0,7,0,4886,0,benign
192.168.152.52,192.168.159.255,137.0,137.0,17,1.502422332763672,1.9967754303023224,183.70333958781367,3,276,92.0,92,92,0.0,0.7530180215835571,0,0,0,0,0,0,,0,0,3,0,276,0,benign
192.168.157.198,224.0.0.251,5353.0,5353.0,17,2.0096209049224854,1.9904251544170155,195.0616651328675,4,392,98.0,79,117,21.93931022920578,0.6700117588043213,0,0,0,0,0,0,,0,0,4,0,392,0,benign
192.168.157.198,224.0.0.252,62997.0,5355.0,17,1e-06,1000000.0,73000000.0,1,73,73.0,73,73,0.0,0.0,0,0,0,0,0,0,,0,0,1,0,73,0,benign
192.168.157.6,224.0.0.252,54369.0,5355.0,17,0.4181122779846191,4.783404136420918,358.75531023156884,2,150,75.0,75,75,0.0,0.4185190200805664,0,0,0,0,0,0,,0,0,2,0,150,0,benign
